tconst,primaryTitle,startYear,runtimeMinutes,genres,director_name
tt33030353,Gale: Yellow Brick Road,2026,104,"Fantasy,Horror,Thriller",Daniel Alexander
tt35886386,The Fall of Barsisa,2026,75,"Adventure,Fantasy,Horror",Ayaan Bhatti
tt39463367,Dark Frequencies,2026,,Horror,Bosmo Kosmerly
tt39060794,Trick or Terror 2,2026,61,"Horror,Thriller",Dorian Timmer
tt35396516,Rum Yetimhanesi,2026,,Horror,Cem Kaymakçi
tt15527418,Scary Story Slumber Party Volume 2,2026,,Horror,Jonathan Moody
tt35672651,Sleepwalker,2026,89,"Horror,Thriller",Brandon Auman
tt31511146,Doctor Plague,2026,83,"Horror,Thriller",Ben Fortune
tt15090554,Dual,2026,,"Crime,Horror,Thriller",Mark Schoonmaker
tt8163994,Axeman at Cutter's Creek 3: Absolution,2026,,Horror,Joston Ramon Theney
tt38048307,The Withering,2026,,Horror,Daniel J. Pico
tt39390303,Paranormal Adventures 5: The Black Eyed Children,2026,61,"Documentary,Horror",Jason Kenzie
tt33479805,Killer Whale,2026,89,"Action,Horror,Thriller",Jo-Anne Brechin
tt36392296,Shadow Death,2026,50,Horror,Chris Spinelli
tt35672862,Hokum,2026,,Horror,Damian Mc Carthy
tt33323550,The Mouse Trap: Welcome to the Mickeyverse,2026,80,Horror,Jamie Bailey
tt39386166,Its Presence Between Us,2026,90,Horror,Kelton White
tt35131160,VHS Summer Camp,2026,72,Horror,James Pinard
tt39127260,Gorünmezler: Cin Carpmasi,2026,,Horror,Yildiray Alkin
tt39443205,Paree - Chapter 1,2026,136,"Drama,Horror",Ali Seezan
tt15716368,Bad Voodoo,2026,,Horror,Andre Hepburn
tt14201728,Twisted,2026,,"Horror,Thriller",Darren Lynn Bousman
tt39370062,Panor 2,2026,125,"Drama,Horror,Mystery",Putipong Saisikaew
tt37075972,Inside That House,2026,,Horror,Brett Petersel
tt39384629,Oni,2026,52,"Horror,Mystery",Hiroyuki Akune
tt32810350,Redhead II: Deadhead,2026,,"Horror,Mystery,Thriller",Johnna Hodge
tt37540269,The Thing in the Coffin,2026,62,Horror,Péter Lichter
tt37853611,Leave,2026,,"Drama,Horror,Thriller",Chris Stokes
tt26681192,The God of Frogs,2026,,Horror,Ali Chappell
tt29292004,A Fetish of Flesh,2026,110,Horror,Freddie Meade
tt15716368,Bad Voodoo,2026,,Horror,Andrew Adler
tt39444561,Ajurne,2026,50,"Horror,Mystery,Thriller",Furkan Kopuz
tt14500286,The Yeti,2026,91,Horror,Gene Gallerano
